metric_id,metric_name,status,owner,reviewer,refresh_sla_hours,source,version,critical
KPI-001,Eligible Students,CERTIFIED,College Analytics,Data Governance,24,college_students,1.0,true
KPI-002,Applications Submitted,CERTIFIED,Marketplace Analytics,Data Governance,1,college_applications,1.2,true
KPI-003,Offers,CERTIFIED,Recruiter Analytics,Data Governance,1,offer_events,1.0,true
KPI-004,Placements,CERTIFIED,College Analytics,Data Governance,24,placement_events,1.1,true
KPI-005,Placement Rate,CERTIFIED,College Analytics,Data Governance,24,derived_kpis,1.3,true
KPI-006,Offer Rate,CERTIFIED,Recruiter Analytics,Data Governance,1,derived_kpis,1.0,false
KPI-007,Active Companies,CERTIFIED,Marketplace Analytics,Data Governance,24,company_events,1.0,false
KPI-008,Revenue,CERTIFIED,Finance Analytics,Finance Controller,24,payment_ledger,2.0,true
KPI-009,Profile Completion,DEGRADED,College Analytics,Data Governance,24,college_students,1.1,false
KPI-010,Legacy Application Rate,DEPRECATED,Marketplace Analytics,Data Governance,24,legacy_app_source,0.9,false
