antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent,consequent,support_pct,confidence_pct,priority_score,Item_A,Item_B,pair_key,Recommendation
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.05932291127445905,0.06160057977016254,0.04503571798322808,0.7591623036649215,12.323947379999122,1.0,0.04138139225506749,3.896397592693457,0.976804025898123,0.5934515688949522,0.7433526799536052,0.7451273703198558,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,4.503571798322808,75.91623036649216,0.555017818645783,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,"('GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')",Test ROSES REGENCY TEACUP AND SAUCER as a cross-sell recommendation when a customer buys GREEN REGENCY TEACUP AND SAUCER. Consider a bundle or paired placement if the association remains consistent.
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.02764261310694689,0.03219795009835387,0.022155502640024846,0.8014981273408239,24.892830906704237,1.0,0.02126546716261927,4.8755310815799895,0.987114207358818,0.5879120879120878,0.7948941390655775,0.7448005106157496,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,2.2155502640024847,80.14981273408239,0.5515131808711778,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,"('SET/6 RED SPOTTY PAPER CUPS', 'SET/6 RED SPOTTY PAPER PLATES')",Test SET/6 RED SPOTTY PAPER PLATES as a cross-sell recommendation when a customer buys SET/6 RED SPOTTY PAPER CUPS. Consider a bundle or paired placement if the association remains consistent.
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05932291127445905,0.03965213790247438,0.03292266280153225,0.5549738219895288,13.996063045944801,1.0,0.030570382542901148,2.157958137183852,0.9871095485902011,0.4984326018808778,0.5365989808750387,0.6926305141279236,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,3.2922662801532248,55.497382198952884,0.46078766421062706,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,"('GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER')",Test PINK REGENCY TEACUP AND SAUCER as a cross-sell recommendation when a customer buys GREEN REGENCY TEACUP AND SAUCER. Consider a bundle or paired placement if the association remains consistent.
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.03965213790247438,0.06160057977016254,0.031369707009007146,0.7911227154046998,12.842780349737808,1.0,0.028927112325088288,4.492587224350348,0.9602096044015785,0.44888888888888906,0.7774111107782431,0.6501832064418458,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,3.1369707009007146,79.11227154046998,0.40287425675230937,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,"('PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')",Test ROSES REGENCY TEACUP AND SAUCER as a cross-sell recommendation when a customer buys PINK REGENCY TEACUP AND SAUCER. Consider a bundle or paired placement if the association remains consistent.
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03758153017910757,0.049591054974635056,0.02567553576974842,0.6831955922865013,13.776589198111306,1.0,0.02381182804060539,2.999986496036586,0.9636276962689468,0.41750841750841744,0.6666651662195333,0.6004704475002444,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,2.567553576974842,68.31955922865014,0.3537213087412366,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,"('CHARLOTTE BAG PINK POLKADOT', 'RED RETROSPOT CHARLOTTE BAG')",Test RED RETROSPOT CHARLOTTE BAG as a cross-sell recommendation when a customer buys CHARLOTTE BAG PINK POLKADOT. Consider a bundle or paired placement if the association remains consistent.
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.04472512682472306,0.04793456879594161,0.027021430789936848,0.6041666666666666,12.603986681065514,1.0,0.024877551121249945,2.405217931462884,0.963764514188121,0.4116719242902208,0.584237258953168,0.583940784737221,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,2.702143078993685,60.416666666666664,0.3405777537796976,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,"('DOLLY GIRL LUNCH BOX', 'SPACEBOY LUNCH BOX')",Test SPACEBOY LUNCH BOX as a cross-sell recommendation when a customer buys DOLLY GIRL LUNCH BOX. Consider a bundle or paired placement if the association remains consistent.
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.037477999792939226,0.049901646133140076,0.023708458432549952,0.6325966850828729,12.676870085509274,1.0,0.021838244549104803,2.585981985712807,0.9569819442154651,0.3723577235772358,0.6132997037392905,0.5538502097613535,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,2.3708458432549953,63.25966850828729,0.30054904747713257,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,"('ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE RED')",Test ALARM CLOCK BAKELIKE RED as a cross-sell recommendation when a customer buys ALARM CLOCK BAKELIKE GREEN. Consider a bundle or paired placement if the association remains consistent.
frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03737446940677089,0.049591054974635056,0.023501397660213273,0.628808864265928,12.679884801554484,1.0,0.02164795829321428,2.5604300683146026,0.9568985040598944,0.3703099510603589,0.6094406121944007,0.5513564154315026,STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,2.3501397660213272,62.880886426592795,0.2979950150070264,STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,"('RED RETROSPOT CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG')",Test RED RETROSPOT CHARLOTTE BAG as a cross-sell recommendation when a customer buys STRAWBERRY CHARLOTTE BAG. Consider a bundle or paired placement if the association remains consistent.
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04876281188528833,0.06719122062325293,0.030541463919660422,0.6263269639065818,9.321559544489482,1.0,0.027265031068065833,2.4963234948093636,0.9384849804092293,0.3575757575757576,0.5994108928272668,0.5404362092260182,HEART OF WICKER LARGE,HEART OF WICKER SMALL,3.054146391966042,62.63269639065818,0.2846940745029917,HEART OF WICKER LARGE,HEART OF WICKER SMALL,"('HEART OF WICKER LARGE', 'HEART OF WICKER SMALL')",Test HEART OF WICKER SMALL as a cross-sell recommendation when a customer buys HEART OF WICKER LARGE. Consider a bundle or paired placement if the association remains consistent.
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.04317217103219795,0.049591054974635056,0.024640231908065018,0.5707434052757794,11.50899906379698,1.0,0.02249927840103294,2.2140811736065764,0.9543111553212499,0.3617021276595745,0.5483453759867923,0.5338059406337143,WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,2.464023190806502,57.07434052757794,0.28358440596166073,WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,"('RED RETROSPOT CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG')",Test RED RETROSPOT CHARLOTTE BAG as a cross-sell recommendation when a customer buys WOODLAND CHARLOTTE BAG. Consider a bundle or paired placement if the association remains consistent.
