metric_id,name,definition,formula,source_fields,grain,decision,owner,refresh_sla
m001,Raw Transaction Lines,Count of source transaction rows before analytical filters.,COUNT(rows),all source fields,transaction-line,Size the source and detect ingestion-volume breaks.,Data Engineering,Daily
m002,Valid Purchase Lines,"Count of transaction lines with CustomerID present, Quantity > 0, UnitPrice > 0 and non-cancelled invoice.",COUNT(rows meeting sale-quality rules),"CustomerID, Quantity, UnitPrice, InvoiceNo",transaction-line,Determine the trustworthy analytical population.,Analytics,Daily
m003,Net Revenue Proxy,Sum of Quantity × UnitPrice over valid purchase lines.,SUM(Quantity × UnitPrice),"Quantity, UnitPrice",transaction-line,Track commercial value on the real transaction source.,Analytics,Daily
m004,Identified Customers,Distinct CustomerID among valid purchase lines.,COUNT(DISTINCT CustomerID),CustomerID,customer,Assess customer-level reporting coverage.,Analytics,Daily
m005,Repeat Customer Rate,Share of identified customers with at least two distinct clean invoices in the observation window.,customers with invoice_count >= 2 / identified customers,"CustomerID, InvoiceNo",customer,Assess repeat activity and retention-proxy health.,Analytics,Daily
m006,CustomerID Null Rate,Share of raw transaction lines where CustomerID is missing.,missing CustomerID / raw rows,CustomerID,transaction-line,Decide whether customer-level reporting is fit for use.,Data Engineering,Daily
m007,Cancellation Rate,Share of raw transaction lines whose invoice number is marked as a cancellation.,cancellation rows / raw rows,InvoiceNo,transaction-line,Detect transaction-state contamination before KPI publication.,Finance Analytics,Daily
m008,Invalid Quantity Rate,Share of raw transaction lines with Quantity <= 0.,Quantity <= 0 rows / raw rows,Quantity,transaction-line,Trigger quality investigation for quantity semantics.,Data Engineering,Daily
m009,Invalid Price Rate,Share of raw transaction lines with UnitPrice <= 0.,UnitPrice <= 0 rows / raw rows,UnitPrice,transaction-line,Trigger numeric quality investigation.,Data Engineering,Daily
m010,Customer Revenue Share,Share of valid gross revenue attributable to the top 10% of identified customers by revenue.,top-decile customer revenue / total identified-customer revenue,"CustomerID, Quantity, UnitPrice",customer,Assess concentration risk before portfolio decisions.,Analytics,Weekly
